,car_I,num_agents,num_samples,frac_car_I,frac_agents_samples,frac_samples_agents
274,8.0,75.0,5.0,0.10666666666666667,15.0,0.06666666666666667
275,4.0,75.0,5.0,0.05333333333333334,15.0,0.06666666666666667
276,5.0,75.0,5.0,0.06666666666666667,15.0,0.06666666666666667
277,70.0,75.0,5.0,0.9333333333333333,15.0,0.06666666666666667
278,1.0,75.0,5.0,0.013333333333333334,15.0,0.06666666666666667
279,2.0,75.0,5.0,0.02666666666666667,15.0,0.06666666666666667
280,12.0,85.0,5.0,0.1411764705882353,17.0,0.058823529411764705
281,1.0,85.0,5.0,0.011764705882352941,17.0,0.058823529411764705
282,1.0,85.0,5.0,0.011764705882352941,17.0,0.058823529411764705
283,1.0,85.0,5.0,0.011764705882352941,17.0,0.058823529411764705
284,2.0,85.0,5.0,0.023529411764705882,17.0,0.058823529411764705
285,2.0,85.0,5.0,0.023529411764705882,17.0,0.058823529411764705
286,1.0,85.0,5.0,0.011764705882352941,17.0,0.058823529411764705
287,1.0,85.0,5.0,0.011764705882352941,17.0,0.058823529411764705
288,1.0,85.0,5.0,0.011764705882352941,17.0,0.058823529411764705
289,1.0,85.0,5.0,0.011764705882352941,17.0,0.058823529411764705
290,1.0,100.0,5.0,0.01,20.0,0.05
291,6.0,100.0,5.0,0.06,20.0,0.05
292,1.0,100.0,5.0,0.01,20.0,0.05
293,2.0,100.0,5.0,0.02,20.0,0.05
294,3.0,100.0,5.0,0.03,20.0,0.05
295,3.0,100.0,5.0,0.03,20.0,0.05
296,1.0,100.0,5.0,0.01,20.0,0.05
297,2.0,100.0,5.0,0.02,20.0,0.05
298,1.0,100.0,5.0,0.01,20.0,0.05
299,1.0,100.0,5.0,0.01,20.0,0.05
300,6.0,6.0,6.0,1.0,1.0,1.0
301,6.0,6.0,6.0,1.0,1.0,1.0
302,6.0,6.0,6.0,1.0,1.0,1.0
303,6.0,6.0,6.0,1.0,1.0,1.0
304,6.0,6.0,6.0,1.0,1.0,1.0
305,6.0,6.0,6.0,1.0,1.0,1.0
306,6.0,6.0,6.0,1.0,1.0,1.0
307,6.0,6.0,6.0,1.0,1.0,1.0
308,6.0,6.0,6.0,1.0,1.0,1.0
309,6.0,6.0,6.0,1.0,1.0,1.0
310,18.0,18.0,6.0,1.0,3.0,0.3333333333333333
311,18.0,18.0,6.0,1.0,3.0,0.3333333333333333
312,18.0,18.0,6.0,1.0,3.0,0.3333333333333333
313,18.0,18.0,6.0,1.0,3.0,0.3333333333333333
314,18.0,18.0,6.0,1.0,3.0,0.3333333333333333
315,18.0,18.0,6.0,1.0,3.0,0.3333333333333333
316,18.0,18.0,6.0,1.0,3.0,0.3333333333333333
317,18.0,18.0,6.0,1.0,3.0,0.3333333333333333
318,18.0,18.0,6.0,1.0,3.0,0.3333333333333333
319,18.0,18.0,6.0,1.0,3.0,0.3333333333333333
320,30.0,30.0,6.0,1.0,5.0,0.2
321,30.0,30.0,6.0,1.0,5.0,0.2
322,30.0,30.0,6.0,1.0,5.0,0.2
323,30.0,30.0,6.0,1.0,5.0,0.2
324,30.0,30.0,6.0,1.0,5.0,0.2
325,30.0,30.0,6.0,1.0,5.0,0.2
326,30.0,30.0,6.0,1.0,5.0,0.2
327,30.0,30.0,6.0,1.0,5.0,0.2
328,30.0,30.0,6.0,1.0,5.0,0.2
329,30.0,30.0,6.0,1.0,5.0,0.2
330,42.0,42.0,6.0,1.0,7.0,0.14285714285714285
331,42.0,42.0,6.0,1.0,7.0,0.14285714285714285
332,42.0,42.0,6.0,1.0,7.0,0.14285714285714285
333,42.0,42.0,6.0,1.0,7.0,0.14285714285714285
334,42.0,42.0,6.0,1.0,7.0,0.14285714285714285
335,29.0,42.0,6.0,0.6904761904761905,7.0,0.14285714285714285
336,42.0,42.0,6.0,1.0,7.0,0.14285714285714285
337,42.0,42.0,6.0,1.0,7.0,0.14285714285714285
338,42.0,42.0,6.0,1.0,7.0,0.14285714285714285
339,1.0,42.0,6.0,0.023809523809523808,7.0,0.14285714285714285
340,29.0,54.0,6.0,0.5370370370370371,9.0,0.1111111111111111
341,7.0,54.0,6.0,0.12962962962962962,9.0,0.1111111111111111
342,54.0,54.0,6.0,1.0,9.0,0.1111111111111111
343,24.0,54.0,6.0,0.4444444444444444,9.0,0.1111111111111111
344,50.0,54.0,6.0,0.9259259259259259,9.0,0.1111111111111111
345,54.0,54.0,6.0,1.0,9.0,0.1111111111111111
346,2.0,54.0,6.0,0.037037037037037035,9.0,0.1111111111111111
347,54.0,54.0,6.0,1.0,9.0,0.1111111111111111
348,1.0,54.0,6.0,0.018518518518518517,9.0,0.1111111111111111
349,12.0,54.0,6.0,0.2222222222222222,9.0,0.1111111111111111
350,3.0,66.0,6.0,0.045454545454545456,11.0,0.09090909090909091
351,8.0,66.0,6.0,0.12121212121212122,11.0,0.09090909090909091
352,3.0,66.0,6.0,0.045454545454545456,11.0,0.09090909090909091
353,10.0,66.0,6.0,0.15151515151515152,11.0,0.09090909090909091
354,66.0,66.0,6.0,1.0,11.0,0.09090909090909091
355,2.0,66.0,6.0,0.030303030303030304,11.0,0.09090909090909091
356,3.0,66.0,6.0,0.045454545454545456,11.0,0.09090909090909091
357,66.0,66.0,6.0,1.0,11.0,0.09090909090909091
358,43.0,66.0,6.0,0.6515151515151515,11.0,0.09090909090909091
359,5.0,66.0,6.0,0.07575757575757576,11.0,0.09090909090909091
360,3.0,78.0,6.0,0.038461538461538464,13.0,0.07692307692307693
361,17.0,78.0,6.0,0.21794871794871795,13.0,0.07692307692307693
362,17.0,78.0,6.0,0.21794871794871795,13.0,0.07692307692307693
363,1.0,78.0,6.0,0.01282051282051282,13.0,0.07692307692307693
364,1.0,78.0,6.0,0.01282051282051282,13.0,0.07692307692307693
365,53.0,78.0,6.0,0.6794871794871795,13.0,0.07692307692307693
366,1.0,78.0,6.0,0.01282051282051282,13.0,0.07692307692307693
367,6.0,78.0,6.0,0.07692307692307693,13.0,0.07692307692307693
368,1.0,78.0,6.0,0.01282051282051282,13.0,0.07692307692307693
369,26.0,78.0,6.0,0.3333333333333333,13.0,0.07692307692307693
370,9.0,90.0,6.0,0.1,15.0,0.06666666666666667
371,66.0,90.0,6.0,0.7333333333333333,15.0,0.06666666666666667
372,2.0,90.0,6.0,0.022222222222222223,15.0,0.06666666666666667
373,19.0,90.0,6.0,0.2111111111111111,15.0,0.06666666666666667
374,2.0,90.0,6.0,0.022222222222222223,15.0,0.06666666666666667
375,2.0,90.0,6.0,0.022222222222222223,15.0,0.06666666666666667
376,1.0,90.0,6.0,0.011111111111111112,15.0,0.06666666666666667
377,1.0,90.0,6.0,0.011111111111111112,15.0,0.06666666666666667
378,1.0,90.0,6.0,0.011111111111111112,15.0,0.06666666666666667
379,1.0,90.0,6.0,0.011111111111111112,15.0,0.06666666666666667
380,11.0,102.0,6.0,0.10784313725490197,17.0,0.058823529411764705
381,10.0,102.0,6.0,0.09803921568627451,17.0,0.058823529411764705
382,11.0,102.0,6.0,0.10784313725490197,17.0,0.058823529411764705
383,16.0,102.0,6.0,0.1568627450980392,17.0,0.058823529411764705
384,1.0,102.0,6.0,0.00980392156862745,17.0,0.058823529411764705
385,1.0,102.0,6.0,0.00980392156862745,17.0,0.058823529411764705
386,2.0,102.0,6.0,0.0196078431372549,17.0,0.058823529411764705
387,1.0,102.0,6.0,0.00980392156862745,17.0,0.058823529411764705
388,3.0,102.0,6.0,0.029411764705882353,17.0,0.058823529411764705
389,2.0,102.0,6.0,0.0196078431372549,17.0,0.058823529411764705
390,1.0,120.0,6.0,0.008333333333333333,20.0,0.05
391,11.0,120.0,6.0,0.09166666666666666,20.0,0.05
392,1.0,120.0,6.0,0.008333333333333333,20.0,0.05
393,1.0,120.0,6.0,0.008333333333333333,20.0,0.05
394,4.0,120.0,6.0,0.03333333333333333,20.0,0.05
395,11.0,120.0,6.0,0.09166666666666666,20.0,0.05
396,3.0,120.0,6.0,0.025,20.0,0.05
397,5.0,120.0,6.0,0.041666666666666664,20.0,0.05
398,1.0,120.0,6.0,0.008333333333333333,20.0,0.05
399,1.0,120.0,6.0,0.008333333333333333,20.0,0.05
400,7.0,7.0,7.0,1.0,1.0,1.0
401,7.0,7.0,7.0,1.0,1.0,1.0
402,7.0,7.0,7.0,1.0,1.0,1.0
403,7.0,7.0,7.0,1.0,1.0,1.0
404,7.0,7.0,7.0,1.0,1.0,1.0
405,7.0,7.0,7.0,1.0,1.0,1.0
406,7.0,7.0,7.0,1.0,1.0,1.0
407,7.0,7.0,7.0,1.0,1.0,1.0
408,7.0,7.0,7.0,1.0,1.0,1.0
409,7.0,7.0,7.0,1.0,1.0,1.0
410,21.0,21.0,7.0,1.0,3.0,0.3333333333333333
411,21.0,21.0,7.0,1.0,3.0,0.3333333333333333
412,21.0,21.0,7.0,1.0,3.0,0.3333333333333333
413,21.0,21.0,7.0,1.0,3.0,0.3333333333333333
414,21.0,21.0,7.0,1.0,3.0,0.3333333333333333
415,21.0,21.0,7.0,1.0,3.0,0.3333333333333333
416,21.0,21.0,7.0,1.0,3.0,0.3333333333333333
417,21.0,21.0,7.0,1.0,3.0,0.3333333333333333
418,21.0,21.0,7.0,1.0,3.0,0.3333333333333333
419,21.0,21.0,7.0,1.0,3.0,0.3333333333333333
420,35.0,35.0,7.0,1.0,5.0,0.2
421,35.0,35.0,7.0,1.0,5.0,0.2
422,35.0,35.0,7.0,1.0,5.0,0.2
423,35.0,35.0,7.0,1.0,5.0,0.2
424,35.0,35.0,7.0,1.0,5.0,0.2
425,35.0,35.0,7.0,1.0,5.0,0.2
426,35.0,35.0,7.0,1.0,5.0,0.2
427,35.0,35.0,7.0,1.0,5.0,0.2
428,35.0,35.0,7.0,1.0,5.0,0.2
429,35.0,35.0,7.0,1.0,5.0,0.2
430,49.0,49.0,7.0,1.0,7.0,0.14285714285714285
431,4.0,49.0,7.0,0.08163265306122448,7.0,0.14285714285714285
432,49.0,49.0,7.0,1.0,7.0,0.14285714285714285
433,49.0,49.0,7.0,1.0,7.0,0.14285714285714285
434,49.0,49.0,7.0,1.0,7.0,0.14285714285714285
435,49.0,49.0,7.0,1.0,7.0,0.14285714285714285
436,49.0,49.0,7.0,1.0,7.0,0.14285714285714285
437,49.0,49.0,7.0,1.0,7.0,0.14285714285714285
438,49.0,49.0,7.0,1.0,7.0,0.14285714285714285
439,49.0,49.0,7.0,1.0,7.0,0.14285714285714285
440,63.0,63.0,7.0,1.0,9.0,0.1111111111111111
